موج	امواج
مرکز	مراکز
موقع	مواقع
مصرف	مصارف
معرفت	معارف
مبحث	مباحث
ماده	مواد
مذهب	مذاهب
مصیبت	مصائب
معبد	معابد
مسجد	مساجد
معبر	معابر
مظهر	مظاهر
منظره	مناظر
مرض	امراض
مورد	موارد
مرحله	مراحل
مفهوم	مفاهیم
منبع	منابع
مکان	اماکن
حقیقت	حقایق
خزینه	خزائن
خبر	اخبار
دوره	ادوار
دین	ادیان
دفتر	دفاتر
ذخیره	ذخایر
رفیق	رفقا
رای	آرا
رسم	رسوم
رابطه	روابط
رمز	رموز
رجل	رجال
رقم	ارقام
زاویه	زوایا
زعیم	زعما
سانحه	سوانح
سلطان	سلاطین
شعر	اشعار
شاعر	شعرا
طرف	اطراف
عمق	اعماق
عالم	علما
علم	علوم
علامت	علائم
علت	علل
عقیده	عقائد
عمل	اعمال
عید	اعیاد
عنصر	عناصر
عاطفه	عواطف
عضو	اعضا
عبارت	عبارات
عجیب	عجایب
فقیه	فقها
فن	فنون
فکر	افکار
فریضه	فرایض
فعل	افعال
فقیر	فقرا
ادب	آداب
ادیب	ادبا
اثر	آثار
اسیر	اسرا
اسم	اسامی
اسطوره	اساطیر
امیر	امرا
امر	اوامر
امام	ائمه
اصل	اصول
افق	آفاق
بیت	ابیات
تاجر	تجار
تصویر	تصاویر
جد	اجداد
جانب	جوانب
جزیره	جزایر
جبل	جبال
جریمه	جرایم
حادثه	حوادث
حشم	احشام
